date,delta,gamma,vega,theta
2023-01-10,-8166849.35572247,-224790.97803267505,-14439.047161645623,10205.023815784376
2023-01-11,-8258079.521844681,-225346.185566069,-15494.666214417233,10907.417046040955
2023-01-12,-8318945.5023331465,-227652.12533121114,-14530.326065895204,9974.9578377349
2023-01-13,-8384879.627698357,-221801.50430472294,-14316.585673160587,9379.810386430163
2023-01-16,-8405088.219907468,-227188.25456933683,-14080.225062453437,9545.49327865078
2023-01-17,-8368422.6743697915,-231286.33306571754,-14048.11007350662,9457.36262740303
2023-01-18,-8286667.81814507,-227263.40681825083,-13966.851552774735,9111.9801114178
2023-01-19,-8340232.685934987,-219424.0768010504,-13964.543842879497,9850.589498970134
2023-01-20,-8754865.423575327,-234796.7282534786,-15254.691358225908,10788.722678449987
2023-01-23,-8774057.361261118,-242193.42043991122,-14391.270724595004,10523.906225260649
2023-01-24,-8734626.169069888,-242269.84385479576,-14803.489162841806,10577.823459238592
2023-01-25,-8695637.470646659,-247149.55934942886,-14846.511995462044,10366.720917494888
2023-01-26,-8681601.403769525,-245224.28987534167,-14545.823087360655,10415.740459429018
2023-01-27,-8978518.533104874,-251904.51807291925,-15892.951191159711,11166.481383439019
2023-01-30,-8958637.740539232,-254945.96908057522,-15022.290784049232,10571.670081066031
2023-01-31,-8967400.81825404,-253152.25026068612,-15067.39451202025,10524.347045748678
2023-02-01,-9036423.478406625,-248997.65367093886,-14676.221911500574,10127.169246013023
2023-02-02,-8844048.5423636,-250636.5977642001,-14624.21269185149,10351.567006669327
2023-02-03,-8860720.62905134,-242649.5442215218,-15622.240290942033,10898.491762544263
2023-02-06,-8911608.921397377,-238684.44720557297,-14826.530715401717,9678.90727055513
2023-02-07,-8904562.868227428,-217544.78712425378,-14602.644446175227,9618.110241191476
2023-02-08,-8954375.585434899,-212176.15137891727,-14399.768563263051,9466.844413859017
2023-02-09,-8892119.508373465,-195802.0006742487,-14305.429816231364,9672.342792417188
2023-02-10,-8894769.575396981,-189969.5657954485,-15739.07015405511,10463.793355639446
2023-02-13,-8768929.919501623,-195409.95890401045,-14841.732339209348,9871.272369881264
2023-02-14,-8749392.583144559,-184471.09813399383,-14910.862149376408,10326.49679732506
2023-02-15,-8675951.225352256,-184177.12594038964,-14734.025884814073,11528.773867657019
2023-02-16,-8664044.144968154,-177958.96070634396,-14776.695201652397,11308.996820199794
2023-02-17,-8643275.019023422,-170350.00482158829,-14578.960977235041,11018.084447464193
2023-02-20,-8644898.552541485,-172544.3247662364,-14978.152472838243,11185.511937869875
2023-02-21,-8552969.677457945,-168447.05230469187,-15061.166786792475,11153.887175438595
2023-02-22,-8482562.437995192,-169808.86588128365,-14918.446092645652,11411.208985908666
2023-02-23,-8448201.976927062,-166571.57169709887,-14788.04837584757,11520.897190662718
2023-02-24,-8340477.274051009,-166778.02562074442,-14965.72268268689,11861.644538639717
2023-02-27,-8678991.14953373,-173825.4487281039,-15937.769012163379,12293.921550135867
2023-02-28,-8641372.707159527,-169511.69974409943,-15617.876019429974,11682.27964850883
2023-03-01,-8720108.9672658,-167396.59471454815,-15473.756821571415,11851.386676025853
2023-03-02,-8704994.741614494,-166492.49716922294,-15317.721050915534,11654.868378513775
2023-03-03,-8822268.172104413,-161279.28770059076,-15082.495224637258,11322.740063164265
2023-03-06,-9259292.807503937,-172226.11469655856,-16293.82019228706,11957.104826223604
