date,pair,open_trades
2023-10-16,AUDJPY,8
2023-10-16,USDNOK,1
2023-10-16,USDSEK,1
2023-10-17,XAUUSD,84
2023-10-17,USDJPY,35
2023-10-17,CHFJPY,45
2023-10-17,EURJPY,14
2023-10-17,XAGUSD,37
2023-10-17,EURNOK,4
2023-10-17,GBPJPY,32
2023-10-17,CADJPY,24
2023-10-17,NZDJPY,11
2023-10-17,EURAUD,4
2023-10-17,AUDJPY,8
2023-10-17,USDNOK,1
2023-10-17,USDSEK,1
2023-10-18,XAUUSD,84
2023-10-18,USDJPY,35
2023-10-18,CHFJPY,45
2023-10-18,EURJPY,14
2023-10-18,XAGUSD,37
2023-10-18,EURNOK,4
2023-10-18,GBPJPY,32
2023-10-18,CADJPY,24
2023-10-18,NZDJPY,11
2023-10-18,EURAUD,4
2023-10-18,AUDJPY,8
2023-10-18,USDNOK,1
2023-10-18,USDSEK,1
2023-10-19,XAUUSD,88
2023-10-19,USDJPY,37
2023-10-19,CHFJPY,51
2023-10-19,EURJPY,14
2023-10-19,XAGUSD,38
2023-10-19,EURNOK,4
2023-10-19,GBPJPY,33
2023-10-19,CADJPY,23
2023-10-19,NZDJPY,13
2023-10-19,EURAUD,4
2023-10-19,AUDJPY,11
2023-10-19,USDNOK,1
2023-10-19,USDSEK,1
2023-10-20,XAUUSD,87
2023-10-20,USDJPY,36
2023-10-20,CHFJPY,50
2023-10-20,EURJPY,14
2023-10-20,XAGUSD,38
2023-10-20,EURNOK,4
2023-10-20,GBPJPY,33
2023-10-20,CADJPY,23
2023-10-20,NZDJPY,13
2023-10-20,EURAUD,4
2023-10-20,AUDJPY,11
2023-10-20,USDNOK,1
2023-10-20,USDSEK,1
2023-10-23,XAUUSD,87
2023-10-23,USDJPY,36
2023-10-23,CHFJPY,50
2023-10-23,EURJPY,14
2023-10-23,XAGUSD,38
2023-10-23,EURNOK,4
2023-10-23,GBPJPY,33
2023-10-23,CADJPY,23
2023-10-23,NZDJPY,13
2023-10-23,EURAUD,4
2023-10-23,AUDJPY,11
2023-10-23,USDNOK,1
2023-10-23,USDSEK,1
2023-10-24,XAUUSD,84
2023-10-24,USDJPY,35
2023-10-24,CHFJPY,49
2023-10-24,EURJPY,14
2023-10-24,XAGUSD,38
2023-10-24,EURNOK,4
2023-10-24,GBPJPY,33
2023-10-24,CADJPY,23
2023-10-24,NZDJPY,12
2023-10-24,EURAUD,4
2023-10-24,AUDJPY,11
2023-10-24,USDNOK,1
2023-10-24,USDSEK,1
2023-10-25,XAUUSD,84
2023-10-25,USDJPY,35
2023-10-25,CHFJPY,49
2023-10-25,EURJPY,14
2023-10-25,XAGUSD,38
2023-10-25,EURNOK,4
2023-10-25,GBPJPY,33
2023-10-25,CADJPY,23
2023-10-25,NZDJPY,12
2023-10-25,EURAUD,4
2023-10-25,AUDJPY,11
2023-10-25,USDNOK,1
2023-10-25,USDSEK,1
2023-10-26,XAUUSD,84
2023-10-26,USDJPY,35
2023-10-26,CHFJPY,48
2023-10-26,EURJPY,14
2023-10-26,XAGUSD,38
2023-10-26,EURNOK,4
2023-10-26,GBPJPY,33
2023-10-26,CADJPY,23
2023-10-26,NZDJPY,10
2023-10-26,EURAUD,4
2023-10-26,AUDJPY,11
2023-10-26,USDNOK,1
2023-10-26,USDSEK,1
2023-10-27,XAUUSD,84
2023-10-27,USDJPY,35
2023-10-27,CHFJPY,48
2023-10-27,EURJPY,14
2023-10-27,XAGUSD,38
2023-10-27,EURNOK,4
2023-10-27,GBPJPY,33
2023-10-27,CADJPY,23
2023-10-27,NZDJPY,10
2023-10-27,EURAUD,4
2023-10-27,AUDJPY,11
2023-10-27,USDNOK,1
2023-10-27,USDSEK,1
2023-10-30,XAUUSD,80
2023-10-30,EURJPY,15
2023-10-30,CHFJPY,53
2023-10-30,USDJPY,37
2023-10-30,XAGUSD,39
2023-10-30,EURNOK,4
2023-10-30,NZDJPY,12
2023-10-30,CADJPY,21
2023-10-30,GBPJPY,32
2023-10-30,EURAUD,4
2023-10-30,AUDJPY,16
2023-10-30,USDNOK,1
2023-10-30,USDSEK,1
