date,pair,open_trades
2023-02-15,GBPCHF,28
2023-02-15,EURJPY,21
2023-02-15,EURAUD,17
2023-02-15,GBPJPY,7
2023-02-15,CADJPY,19
2023-02-15,GBPUSD,10
2023-02-15,USDCHF,25
2023-02-15,USDCAD,13
2023-02-15,EURCAD,2
2023-02-15,XAUUSD,35
2023-02-15,EURCHF,15
2023-02-15,EURGBP,7
2023-02-15,GBPNZD,1
2023-02-15,NZDJPY,6
2023-02-15,AUDUSD,10
2023-02-15,USDJPY,15
2023-02-15,GBPCAD,5
2023-02-15,EURSEK,2
2023-02-15,USDSEK,5
2023-02-15,USDNOK,14
2023-02-15,EURUSD,18
2023-02-15,EURNOK,13
2023-02-15,AUDJPY,6
2023-02-15,CHFJPY,7
2023-02-15,NZDUSD,4
2023-02-15,XAGUSD,11
2023-02-15,GBPAUD,2
2023-02-16,GBPCHF,28
2023-02-16,EURJPY,21
2023-02-16,EURAUD,17
2023-02-16,GBPJPY,7
2023-02-16,CADJPY,19
2023-02-16,GBPUSD,10
2023-02-16,USDCHF,25
2023-02-16,USDCAD,13
2023-02-16,EURCAD,2
2023-02-16,XAUUSD,35
2023-02-16,EURCHF,15
2023-02-16,EURGBP,7
2023-02-16,GBPNZD,1
2023-02-16,NZDJPY,6
2023-02-16,AUDUSD,10
2023-02-16,USDJPY,15
2023-02-16,GBPCAD,5
2023-02-16,EURSEK,2
2023-02-16,USDSEK,5
2023-02-16,USDNOK,14
2023-02-16,EURUSD,18
2023-02-16,EURNOK,13
2023-02-16,AUDJPY,6
2023-02-16,CHFJPY,7
2023-02-16,NZDUSD,4
