date,delta,gamma,vega,theta
2021-02-16,-2336748.5950935883,-252134.49878011932,-1913.0703763218607,2249.9841730224434
2021-02-17,-2445777.9896527897,-397354.8283502391,-2129.353490073198,3022.7650909150248
2021-02-18,-2451529.743105163,-369669.368275958,-2036.459860170348,2754.714245884927
2021-02-19,-2345873.7777456664,-365042.8907972028,-2003.1834250346599,2713.7712500000753
2021-02-22,-2384090.1107065366,-288507.7002436313,-1789.5385188359849,2187.130668398231
2021-02-23,-2381104.7588133207,-271030.3656705494,-1750.2694658985567,2082.234372493589
2021-02-24,-2375151.8149725264,-273721.6669955969,-1758.1349470881048,2098.7597734050382
2021-02-25,-2375947.0440001367,-225235.88838820497,-1691.9160786761208,1923.5052460797976
2021-02-26,-2341054.1615444827,-209537.37509939456,-1532.5500571795126,1889.8091382060354
2021-03-01,-2736004.8171555265,-408400.23118385515,-1970.7250512863648,3271.970011587098
2021-03-02,-2729853.9983362844,-382616.0346325916,-1844.6688335474855,2928.09678193403
2021-03-03,-2840082.6906965417,-378722.7824782385,-1837.92933107733,2973.834243620214
2021-03-04,-2818815.527545769,-376614.0706192788,-1797.566939412214,2661.621554194164
2021-03-05,-2780110.3588215755,-307759.51160474046,-1665.7001006975922,2388.0789551125563
2021-03-08,-2555676.992444455,-439343.87957881467,-1860.2301265263598,3097.2681160847683
2021-03-09,-2556757.0078068753,-417856.40482738626,-1803.2711884017717,2895.8564817041674
2021-03-10,-2598593.1203806195,-417624.59010250744,-1846.47463280083,2778.928305015244
2021-03-11,-2552758.3879921,-387332.106995055,-1782.4556608793073,2648.5592077890883
2021-03-12,-2436112.9822025686,-315339.3083571106,-1734.680855011714,2395.296806983856
2021-03-15,-2578941.5537739177,-417271.7402478512,-1932.4238869278058,3054.3048617685563
2021-03-16,-2583988.301992766,-378798.1110700142,-1797.2508571388485,2726.1277604805923
2021-03-17,-2591348.824498937,-359698.26738416764,-1755.0547301338586,2527.766816990241
2021-03-18,-2539592.3030804335,-340752.30370551295,-1682.0158835733419,2391.1378089683762
2021-03-19,-2483545.9616662096,-304645.2748418067,-1602.5660244586568,2307.3332011310636
2021-03-22,-2439809.938817151,-408519.4974737082,-1895.515376413926,2921.8149208618415
2021-03-23,-2449709.6472661104,-362757.63414084667,-1833.0086951239673,2814.3422797821363
2021-03-24,-2447079.2606793377,-315119.00696210534,-1744.3132856317907,2554.766955236098
2021-03-25,-2440683.250215904,-310844.67157128785,-1768.6041542931218,2395.0120972225814
2021-03-26,-2433545.86861696,-302107.82302015135,-1681.352239236322,2382.5666094369426
2021-03-29,-2570964.1504240977,-417710.05310180766,-1919.876320725436,3010.56680234912
2021-03-30,-2519702.0093236812,-382902.7177645707,-1852.5674686508207,2853.50142992028
2021-03-31,-2505333.277172112,-372357.920291276,-1834.179150831208,2722.4728091969873
2021-04-01,-2519020.029355194,-346063.66332008544,-1749.626372833387,2593.8579991473066
2021-04-02,-2512955.3563836766,-296340.5970295583,-1703.1991850441211,2314.7810514271523
2021-04-05,-2554822.967147085,-364851.5902981526,-1900.52494883939,2890.02171528277
2021-04-06,-2485226.886182758,-340499.67620323814,-1836.7018170095225,2673.042091811536
2021-04-07,-2469666.8239791654,-329776.6214173318,-1778.575263757113,2629.5139257558067
2021-04-08,-2463765.6974719055,-301357.3761448011,-1757.462434704699,2480.8145468659427
2021-04-09,-2458396.80082328,-267012.5134416865,-1652.2369087799161,2159.8172523541316
2021-04-12,-2437011.9038912104,-291550.0282422152,-1859.6001406004616,2774.3910130786794
2021-04-13,-2361402.084214006,-274446.8676995467,-1767.455600793841,2420.5749740840192
2021-04-14,-2265969.1923709842,-266969.9925571913,-1720.0010322794733,2257.8461367095874
2021-04-15,-2265858.4056478874,-256633.81663140198,-1661.7309227746596,2095.662927876677
2021-04-16,-2260341.997060242,-245432.1615211064,-1610.6637181736805,1948.7133136289983
2021-04-19,-2237022.459841901,-251677.03986376742,-1801.8492034007252,2560.968017103118
2021-04-20,-2162975.973495945,-255443.6618744958,-1758.24544834984,2600.521979654037
2021-04-21,-2063363.8595000543,-253159.88029624554,-1732.7985366489527,2429.992614812881
2021-04-22,-2063326.2515906165,-244694.0619644544,-1695.0173802934428,2311.02886433717
2021-04-23,-2071274.500517185,-231793.42732815206,-1614.6883279886524,2162.2595074817114
2021-04-26,-2118656.1072281604,-198801.8836140088,-1514.3054470608706,1565.1582111996515
2021-04-27,-2128186.5778707964,-217728.67606909663,-1772.4406786205313,2418.969694828117
2021-04-28,-2037989.4297638047,-214914.39564773344,-1723.5659908904736,2245.049837597278
2021-04-29,-2036174.5004061533,-208902.89920962715,-1658.9136519612716,2004.98985519947
2021-04-30,-1976474.9589181717,-206993.89556085094,-1632.8551114137638,1952.2768405201484
